Date,Open,High,Low,Close,Volume
07-09-1984,0.42388,0.42902,0.41874,0.42388,23220030
10-09-1984,0.42388,0.42516,0.41366,0.42134,18022532
11-09-1984,0.42516,0.43668,0.42516,0.42902,42498199
12-09-1984,0.42902,0.43157,0.41618,0.41618,37125801
13-09-1984,0.43927,0.44052,0.43927,0.43927,57822062
14-09-1984,0.44052,0.45589,0.44052,0.44566,68847968
17-09-1984,0.45718,0.46357,0.45718,0.45718,53755262
18-09-1984,0.45718,0.46103,0.44052,0.44052,27136886
19-09-1984,0.44052,0.44566,0.43157,0.43157,29641922
20-09-1984,0.43286,0.43668,0.43286,0.43286,18453585
21-09-1984,0.43286,0.44566,0.42388,0.42902,27842780
24-09-1984,0.42902,0.43157,0.42516,0.42516,22033109
25-09-1984,0.42388,0.42388,0.41618,0.41618,46515020
26-09-1984,0.41618,0.4354,0.41111,0.41111,30947546
27-09-1984,0.41111,0.41366,0.41111,0.41111,29541971
28-09-1984,0.41111,0.41111,0.39316,0.40081,65093531
01-10-1984,0.39956,0.39956,0.39186,0.39186,27268068
02-10-1984,0.39443,0.40853,0.39443,0.39443,32977801
03-10-1984,0.40081,0.40724,0.40081,0.40081,33583772
04-10-1984,0.40593,0.40853,0.40593,0.40593,34995586
05-10-1984,0.40593,0.40593,0.39443,0.39699,27211851
08-10-1984,0.39699,0.39956,0.39699,0.39699,13099922
09-10-1984,0.39699,0.39956,0.39316,0.39316,34933112
10-10-1984,0.39316,0.39316,0.38164,0.38164,101750813
11-10-1984,0.38164,0.39186,0.37906,0.37906,50969114
12-10-1984,0.37906,0.38164,0.35985,0.36241,74126674
15-10-1984,0.38289,0.38674,0.38289,0.38289,67842205
16-10-1984,0.38289,0.38419,0.38164,0.38164,32915346
17-10-1984,0.39699,0.39956,0.39699,0.39699,43685142
18-10-1984,0.40853,0.41111,0.40853,0.40853,68929180
19-10-1984,0.40853,0.43668,0.40724,0.40853,90949795
22-10-1984,0.40853,0.41491,0.40593,0.40593,32003288
23-10-1984,0.41491,0.41874,0.41491,0.41491,51993625
24-10-1984,0.41874,0.42388,0.41874,0.41874,46577491
25-10-1984,0.41874,0.41874,0.40339,0.40339,44109940
26-10-1984,0.40339,0.40339,0.39186,0.39316,32028264
29-10-1984,0.39443,0.39699,0.39443,0.39443,14124427
30-10-1984,0.39956,0.40339,0.39956,0.39956,20802447
31-10-1984,0.39956,0.40339,0.39699,0.39699,16798133
01-11-1984,0.39956,0.40339,0.39956,0.39956,13118654
02-11-1984,0.39956,0.40081,0.39443,0.39699,7721268
05-11-1984,0.39699,0.40593,0.39443,0.39443,29385798
06-11-1984,0.41874,0.42134,0.41874,0.41874,62838381
07-11-1984,0.41874,0.42134,0.41111,0.41111,64575036
08-11-1984,0.41111,0.41111,0.39443,0.39443,24575618
09-11-1984,0.39443,0.39699,0.36754,0.37138,82029108
12-11-1984,0.38419,0.38674,0.38419,0.38419,31584733
13-11-1984,0.38419,0.39316,0.37522,0.37522,35326680
14-11-1984,0.37906,0.38289,0.37906,0.37906,29098422
15-11-1984,0.37906,0.38289,0.37906,0.37906,29729373
16-11-1984,0.37906,0.38419,0.36883,0.37138,46227662
19-11-1984,0.37138,0.37394,0.34962,0.34962,64974836
20-11-1984,0.36112,0.36241,0.36112,0.36112,73414508
21-11-1984,0.36883,0.37138,0.36883,0.36883,49844653
23-11-1984,0.37394,0.38419,0.37394,0.37906,38231510
26-11-1984,0.38289,0.38289,0.38289,0.38289,28067691
27-11-1984,0.39316,0.39699,0.39316,0.39316,35532822
28-11-1984,0.41366,0.42388,0.41366,0.41366,114488422
29-11-1984,0.41366,0.41366,0.40593,0.40593,48770186
30-11-1984,0.40593,0.40853,0.39316,0.39443,30316603
03-12-1984,0.39443,0.39699,0.38932,0.38932,27330541
04-12-1984,0.39699,0.40593,0.39699,0.39699,33571272
05-12-1984,0.41618,0.41618,0.41618,0.41618,73320817
06-12-1984,0.43668,0.43927,0.43668,0.43668,88482241
07-12-1984,0.43668,0.45335,0.43286,0.4354,137914578
10-12-1984,0.4354,0.4354,0.42646,0.42646,31091217
11-12-1984,0.42646,0.43286,0.42134,0.42134,34520809
12-12-1984,0.42134,0.42134,0.40724,0.40724,30697671
13-12-1984,0.41111,0.41874,0.41111,0.41111,18640984
14-12-1984,0.41111,0.42516,0.41111,0.42134,26812043
17-12-1984,0.43157,0.4354,0.43157,0.43157,34926875
18-12-1984,0.45718,0.45845,0.45718,0.45718,94979083
19-12-1984,0.45718,0.45845,0.43927,0.43927,88544707
20-12-1984,0.43927,0.44694,0.43668,0.43668,38999900
21-12-1984,0.43668,0.43927,0.42646,0.43157,34552047
24-12-1984,0.43927,0.44052,0.43927,0.43927,18834649
26-12-1984,0.44052,0.44566,0.44052,0.44052,18734702
27-12-1984,0.44309,0.44566,0.44309,0.44309,27542935
28-12-1984,0.44309,0.46103,0.44052,0.45845,46108958
31-12-1984,0.46487,0.46742,0.46487,0.46487,57940741
02-01-1985,0.46487,0.46487,0.44566,0.44566,48888858
03-01-1985,0.45335,0.46487,0.45335,0.45335,46465028
04-01-1985,0.45335,0.45589,0.44694,0.45335,38281489
07-01-1985,0.45335,0.45589,0.45081,0.45081,47664469
08-01-1985,0.45081,0.45589,0.44694,0.44694,39355963
09-01-1985,0.45845,0.46487,0.45845,0.45845,46496285
10-01-1985,0.47898,0.48027,0.47898,0.47898,77268906
11-01-1985,0.47898,0.48291,0.46998,0.47512,57184863
14-01-1985,0.48791,0.49298,0.48791,0.48791,75419782
15-01-1985,0.48791,0.49685,0.47898,0.47898,73895529
16-01-1985,0.48291,0.49056,0.48291,0.48291,52955655
17-01-1985,0.48291,0.49056,0.44821,0.44821,152694928
18-01-1985,0.44821,0.46742,0.44694,0.45718,98352467
21-01-1985,0.46742,0.46998,0.46742,0.46742,90756134
22-01-1985,0.48027,0.48291,0.48027,0.48027,118480242
